2025-10-10T18:22:18.082838500 | Administrador | Adicionou produto: BANANA
2025-10-10T18:30:50.286713100 | Administrador | Adicionou produto: UVA
2025-10-10T19:05:08.601372900 | Administrador | Adicionou produto: UVA
2025-10-10T21:32:30.977613300 | Administrador | Adicionou produto: PERA
2025-10-10T21:32:49.355872200 | Administrador | Exportou produtos para JSON
2025-10-13T16:46:55.037513400 | Administrador | Realizou login no sistema
2025-10-13T16:50:48.042561300 | Administrador | Realizou login via Web
2025-10-13T16:50:52.164835900 | Administrador | Realizou login via Web
2025-10-13T16:53:01.207747800 | Administrador | Realizou login via Web
2025-10-13T16:53:32.875709700 | Administrador | Realizou login via Web
2025-10-13T16:56:50.954545200 | Administrador | Realizou login via Web
2025-10-13T16:57:01.401141900 | Administrador | Realizou login via Web
2025-10-13T16:57:02.803420400 | Administrador | Realizou login via Web
2025-10-13T16:57:26.208830300 | Administrador | Realizou login via Web
2025-10-13T16:57:28.559130700 | Administrador | Realizou login via Web
2025-10-13T16:57:30.070559400 | Administrador | Realizou login via Web
2025-10-13T16:57:55.674293300 | Administrador | Realizou login via Web
2025-10-13T17:05:36.008825800 | Administrador | Realizou login via Web
2025-10-13T17:05:37.715498200 | Administrador | Realizou login via Web
2025-10-13T17:12:07.368343500 | Administrador | Realizou login via Web
2025-10-13T17:12:58.619220700 | Administrador | Realizou login via Web
2025-10-13T17:13:04.212582100 | Administrador | Realizou login via Web
2025-10-13T17:13:05.563836400 | Administrador | Realizou login via Web
2025-10-13T17:13:12.266476800 | Administrador | Realizou login via Web
2025-10-13T17:14:22.528803800 | Administrador | Realizou login via Web
2025-10-13T17:14:32.820406300 | Administrador | Realizou login via Web
2025-10-13T17:16:06.470708100 | Administrador | Realizou login via Web
2025-10-13T17:19:22.527165500 | Administrador | Realizou login via Web
